account_id,amount,category_id,created_at,description,title,transaction_date,type,updated_at,user_id
dc7ea399-000e-4a42-8587-14b0a077113f,124.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-10T14:30:00Z,Weekly groceries at Whole Foods,Grocery Shopping,2026-08-10,expense,2026-08-10T14:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,2450.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-09T09:15:00Z,Monthly apartment rent payment,Monthly Rent,2026-08-01,expense,2026-08-09T09:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,4500.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-08T16:45:00Z,Freelance web development project,Client Payment,2026-08-08,income,2026-08-08T16:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,45.80,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-07T11:20:00Z,Uber ride to airport,Taxi Ride,2026-08-07,expense,2026-08-07T11:20:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,89.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-06T19:00:00Z,Netflix annual subscription,Netflix Subscription,2026-08-06,expense,2026-08-06T19:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,3200.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-05T08:30:00Z,Salary - August 2026,Monthly Salary,2026-08-05,income,2026-08-05T08:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,67.50,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-04T13:10:00Z,Lunch with colleagues,Restaurant Dinner,2026-08-04,expense,2026-08-04T13:10:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,159.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-03T20:30:00Z,Concert tickets for weekend,Concert Ticket,2026-08-03,expense,2026-08-03T20:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,75.25,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-02T10:45:00Z,Gym supplies and equipment,Gym Membership,2026-08-02,expense,2026-08-02T10:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,1200.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-08-01T15:00:00Z,Online course - Data Science,Online Course,2026-08-01,expense,2026-08-01T15:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,215.30,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-31T12:30:00Z,New work clothes,Shopping Trip,2026-07-31,expense,2026-07-31T12:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,750.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-30T09:00:00Z,Consulting fee,Consulting Income,2026-07-30,income,2026-07-30T09:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,38.90,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-29T07:45:00Z,Morning coffee and breakfast,Coffee Shop,2026-07-29,expense,2026-07-29T07:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
